,CO,FECHA-HORA,NO2,O3,PART,SO2
116,618,09/02/17-19:20,103,5,42,21
117,650,09/02/17-19:30,103,6,42,20
118,583,09/02/17-19:40,98,6,40,19
119,583,09/02/17-19:50,102,6,41,17
120,712,09/02/17-20:00,104,6,48,17
121,1027,09/02/17-20:10,109,7,45,15
122,881,09/02/17-20:20,100,6,42,15
123,879,09/02/17-20:30,99,6,47,15
124,625,09/02/17-20:40,98,6,39,16
125,521,09/02/17-20:50,89,8,32,16
126,598,09/02/17-21:00,83,7,36,15
127,517,09/02/17-21:10,84,10,28,13
128,483,09/02/17-21:20,75,13,24,13
129,523,09/02/17-21:30,75,10,26,11
130,679,09/02/17-21:40,82,7,33,12
131,490,09/02/17-21:50,78,9,27,12
132,544,09/02/17-22:00,74,10,27,11
133,421,09/02/17-22:10,69,15,24,10
134,467,09/02/17-22:20,63,17,22,8
135,462,09/02/17-22:30,66,12,23,8
136,639,09/02/17-22:40,90,6,31,9
137,664,09/02/17-22:50,78,9,30,8
138,403,09/02/17-23:00,63,19,17,7
139,385,09/02/17-23:10,59,16,20,8
140,367,09/02/17-23:20,64,15,25,8
141,442,09/02/17-23:30,74,11,29,8
142,461,09/02/17-23:40,82,10,32,8
143,350,09/02/17-23:50,70,23,28,9
144,275,10/02/17-00:00,57,31,25,9
1,233,10/02/17-00:10,55,33,24,9
2,233,10/02/17-00:20,58,26,21,9
3,233,10/02/17-00:30,62,27,19,9
4,233,10/02/17-00:40,68,15,19,10
5,233,10/02/17-00:50,78,7,19,13
6,279,10/02/17-01:00,72,19,19,9
7,350,10/02/17-01:10,47,34,17,7
8,321,10/02/17-01:20,41,35,18,6
9,313,10/02/17-01:30,41,36,18,5
10,350,10/02/17-01:40,46,28,18,8
11,309,10/02/17-01:50,45,34,17,7
12,275,10/02/17-02:00,36,39,16,8
13,233,10/02/17-02:10,42,36,16,9
14,239,10/02/17-02:20,48,33,16,8
15,233,10/02/17-02:30,47,36,15,8
16,233,10/02/17-02:40,33,42,13,7
17,233,10/02/17-02:50,28,44,11,7
18,233,10/02/17-03:00,27,43,8,6
19,233,10/02/17-03:10,22,48,8,7
20,233,10/02/17-03:20,19,48,8,6
21,233,10/02/17-03:30,20,47,9,6
22,233,10/02/17-03:40,27,41,9,6
23,233,10/02/17-03:50,22,46,9,3
24,233,10/02/17-04:00,20,45,8,3
25,233,10/02/17-04:10,19,44,9,2
26,233,10/02/17-04:20,21,45,8,2
27,233,10/02/17-04:30,19,43,8,2
28,233,10/02/17-04:40,26,38,9,1
29,233,10/02/17-04:50,21,46,8,1
30,233,10/02/17-05:00,21,46,8,1
31,233,10/02/17-05:10,23,47,9,1
32,233,10/02/17-05:20,25,44,39,1
33,233,10/02/17-05:30,23,43,9,0
34,233,10/02/17-05:40,27,44,8,1
35,233,10/02/17-05:50,32,41,10,0
36,233,10/02/17-06:00,36,38,9,0
37,233,10/02/17-06:10,32,39,9,0
38,233,10/02/17-06:20,33,38,8,0
39,233,10/02/17-06:30,31,42,7,0
40,233,10/02/17-06:40,32,39,7,0
41,233,10/02/17-06:50,40,37,7,0
42,233,10/02/17-07:00,34,39,7,0
43,233,10/02/17-07:10,38,44,7,0
44,233,10/02/17-07:20,36,41,7,0
45,233,10/02/17-07:30,47,33,8,0
46,233,10/02/17-07:40,49,33,8,1
47,233,10/02/17-07:50,52,35,7,5
48,233,10/02/17-08:00,48,35,7,6
49,233,10/02/17-08:10,49,35,8,7
50,233,10/02/17-08:20,56,33,8,7
51,233,10/02/17-08:30,59,33,7,8
52,251,10/02/17-08:40,52,32,7,6
53,233,10/02/17-08:50,60,28,7,5
54,351,10/02/17-09:00,85,14,14,6
55,467,10/02/17-09:10,107,7,27,4
56,472,10/02/17-09:20,100,7,31,6
57,478,10/02/17-09:30,98,10,30,7
58,409,10/02/17-09:40,93,16,24,6
59,350,10/02/17-09:50,82,22,19,6
60,350,10/02/17-10:00,81,18,20,10
61,397,10/02/17-10:10,92,12,21,16
62,532,10/02/17-10:20,99,10,82,13
63,582,10/02/17-10:30,100,9,70,13
64,478,10/02/17-10:40,102,9,38,9
65,350,10/02/17-10:50,89,13,37,10
66,373,10/02/17-11:00,87,14,51,10
67,380,10/02/17-11:10,85,13,34,10
68,342,10/02/17-11:20,72,20,24,11
69,246,10/02/17-11:30,66,25,26,9
70,233,10/02/17-11:40,63,28,26,5
71,233,10/02/17-11:50,53,33,23,3
72,233,10/02/17-12:00,52,29,29,3
73,233,10/02/17-12:10,49,35,23,6
74,198,10/02/17-12:20,42,49,10,7
75,233,10/02/17-12:30,36,49,9,7
76,182,10/02/17-12:40,34,58,14,4
77,162,10/02/17-12:50,25,63,8,2
78,117,10/02/17-13:00,30,58,17,3
79,117,10/02/17-13:10,29,60,21,1
80,117,10/02/17-13:20,38,49,39,0
81,173,10/02/17-13:30,44,46,39,0
82,233,10/02/17-13:40,50,41,43,2
83,233,10/02/17-13:50,50,40,47,2
84,224,10/02/17-14:00,53,40,48,3
85,233,10/02/17-14:10,61,27,52,4
86,265,10/02/17-14:20,66,28,27,4
87,233,10/02/17-14:30,51,48,7,5
88,233,10/02/17-14:40,43,49,8,7
89,233,10/02/17-14:50,41,56,8,6
90,233,10/02/17-15:00,35,57,8,7
91,233,10/02/17-15:10,53,41,8,5
92,203,10/02/17-15:20,40,51,10,3
93,231,10/02/17-15:30,65,28,22,2
94,233,10/02/17-15:40,69,24,27,7
95,233,10/02/17-15:50,73,23,22,8
96,233,10/02/17-16:00,70,24,22,7
97,233,10/02/17-16:10,70,26,24,7
98,233,10/02/17-16:20,65,29,42,5
99,233,10/02/17-16:30,61,33,25,4
100,233,10/02/17-16:40,52,39,20,5
101,233,10/02/17-16:50,55,34,19,7
102,233,10/02/17-17:00,57,33,15,6
103,233,10/02/17-17:10,59,34,13,3
104,233,10/02/17-17:20,53,34,16,3
105,233,10/02/17-17:30,57,31,32,5
106,233,10/02/17-17:40,53,35,9,6
107,233,10/02/17-17:50,47,42,6,6
108,233,10/02/17-18:00,49,37,6,5
109,233,10/02/17-18:10,48,40,5,4
110,233,10/02/17-18:20,49,36,5,3
111,233,10/02/17-18:30,49,40,4,6
112,233,10/02/17-18:40,52,36,5,6
113,233,10/02/17-18:50,48,40,5,8
114,215,10/02/17-19:00,51,40,4,6
115,225,10/02/17-19:10,82,9,7,8
116,228,10/02/17-19:20,85,7,8,10
117,258,10/02/17-19:30,86,12,10,9
118,287,10/02/17-19:40,76,23,11,7
119,257,10/02/17-19:50,58,28,13,4
120,233,10/02/17-20:00,50,37,9,5
121,233,10/02/17-20:10,42,40,7,4
122,274,10/02/17-20:20,60,20,10,5
123,233,10/02/17-20:30,54,35,7,5
124,312,10/02/17-20:40,57,22,6,6
125,350,10/02/17-20:50,80,11,9,7
126,350,10/02/17-21:00,80,10,14,6
127,350,10/02/17-21:10,72,15,13,5
128,329,10/02/17-21:20,65,22,11,3
129,350,10/02/17-21:30,70,16,13,5
130,324,10/02/17-21:40,72,19,14,7
131,280,10/02/17-21:50,63,30,12,5
132,238,10/02/17-22:00,62,29,13,3
133,233,10/02/17-22:10,62,29,13,2
134,224,10/02/17-22:20,48,47,5,2
135,210,10/02/17-22:30,41,51,3,4
136,229,10/02/17-22:40,37,53,4,3
137,233,10/02/17-22:50,40,55,4,3
138,233,10/02/17-23:00,31,58,2,6
139,233,10/02/17-23:10,38,50,3,6
140,233,10/02/17-23:20,34,55,3,7
141,233,10/02/17-23:30,29,60,3,5
142,233,10/02/17-23:40,21,64,3,6
143,233,10/02/17-23:50,23,64,2,5
144,233,11/02/17-00:00,20,68,1,3
1,233,11/02/17-00:10,17,70,1,4
2,197,11/02/17-00:20,18,71,0,4
3,196,11/02/17-00:30,13,72,0,1
4,212,11/02/17-00:40,14,71,0,2
5,163,11/02/17-00:50,12,72,0,5
6,193,11/02/17-01:00,12,69,0,3
7,164,11/02/17-01:10,14,68,0,4
8,232,11/02/17-01:20,13,67,0,7
9,133,11/02/17-01:30,12,70,0,6
10,157,11/02/17-01:40,11,70,0,6
11,137,11/02/17-01:50,12,66,0,4
12,151,11/02/17-02:00,13,66,0,5
13,127,11/02/17-02:10,11,64,0,6
14,218,11/02/17-02:20,13,61,1,5
15,121,11/02/17-02:30,12,63,0,8
16,133,11/02/17-02:40,12,62,1,5
17,119,11/02/17-02:50,11,63,1,4
18,117,11/02/17-03:00,10,64,0,4
19,120,11/02/17-03:10,10,64,0,3
20,165,11/02/17-03:20,12,61,1,9
21,195,11/02/17-03:30,15,63,0,8
22,119,11/02/17-03:40,18,63,0,4
23,117,11/02/17-03:50,13,68,0,6
24,117,11/02/17-04:00,8,68,0,10
25,117,11/02/17-04:10,12,64,0,9
26,205,11/02/17-04:20,23,46,1,6
27,205,11/02/17-04:30,25,47,2,6
28,233,11/02/17-04:40,27,41,4,7
29,233,11/02/17-04:50,31,35,4,6
30,228,11/02/17-05:00,20,43,3,6
31,233,11/02/17-05:10,24,36,4,5
32,233,11/02/17-05:20,26,33,6,7
33,233,11/02/17-05:30,25,33,5,4
34,233,11/02/17-05:40,33,29,9,5
35,233,11/02/17-05:50,32,31,8,4
36,233,11/02/17-06:00,32,29,7,6
37,233,11/02/17-06:10,30,29,7,6
38,233,11/02/17-06:20,34,29,7,6
39,233,11/02/17-06:30,28,37,5,5
40,233,11/02/17-06:40,37,30,5,5
41,171,11/02/17-06:50,17,53,0,5
42,146,11/02/17-07:00,16,45,2,5
43,233,11/02/17-07:10,42,23,7,4
44,237,11/02/17-07:20,46,22,8,4
45,290,11/02/17-07:30,44,25,14,4
46,233,11/02/17-07:40,41,21,15,3
47,233,11/02/17-07:50,53,12,10,4
48,245,11/02/17-08:00,62,6,12,4
49,350,11/02/17-08:10,69,5,15,4
50,350,11/02/17-08:20,70,5,14,3
51,350,11/02/17-08:30,68,6,13,3
52,350,11/02/17-08:40,68,6,13,2
53,350,11/02/17-08:50,67,6,15,3
54,249,11/02/17-09:00,65,9,14,5
55,233,11/02/17-09:10,54,16,14,3
56,233,11/02/17-09:20,49,21,13,3
57,233,11/02/17-09:30,39,26,11,4
58,233,11/02/17-09:40,40,27,12,4
59,257,11/02/17-09:50,35,28,13,3
60,233,11/02/17-10:00,35,33,14,2
61,233,11/02/17-10:10,28,39,13,2
62,233,11/02/17-10:20,29,36,12,4
63,233,11/02/17-10:30,36,30,16,4
64,233,11/02/17-10:40,45,30,15,5
65,233,11/02/17-10:50,39,38,14,3
66,233,11/02/17-11:00,35,39,12,4
67,233,11/02/17-11:10,38,40,12,4
68,233,11/02/17-11:20,31,51,9,3
69,233,11/02/17-11:30,31,48,9,3
70,233,11/02/17-11:40,33,49,9,3
71,233,11/02/17-11:50,37,39,12,2
72,255,11/02/17-12:00,42,39,13,4
73,233,11/02/17-12:10,38,47,13,4
74,233,11/02/17-12:20,33,48,11,5
75,233,11/02/17-12:30,33,49,10,2
76,233,11/02/17-12:40,37,43,10,2
77,233,11/02/17-12:50,38,46,10,1
78,233,11/02/17-13:00,35,52,10,3
79,233,11/02/17-13:10,33,54,11,3
80,233,11/02/17-13:20,37,50,11,2
